date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
04/11/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
04/11/2025,"Conditioning","30 Rounds for time in a team of 3 (10 each):12/8 Calorie Air Bike 6 (25ft) Sandbag Bearhug Carry Walks 150/100lbs *One athlete performs a full round while the other 2 rest. If performing solo rest 2:1.Feel: Gas Pacing: Reach",2580,"43:00","","","[{""secs"":0,""mins"":43}]","",SCALED,
04/17/2025,"Strength","Push Press (15 mins to complete)12-10-8-6Stimulus: Heavy  Rest: 2:00 Warm up enough to have a solid guess at what is doable for 12. Wed rather see you go lighter and rep them out vs. overshooting and having to pause a lot and potentially fail. The following rounds will make sure you get the correct stimulus.",55,"55","Load","Push Press","[{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true},{""load"":55,""success"":true}]","",RX,
04/17/2025,"Strength/Skill","Squat Clean and Split Jerk3-3-3-3-3Drop and reset between reps. All reps are squat clean + split jerk. Aim for all sets to be at or heavier than 70% of your 1RM. Build AHAP. Stimulus: Heavy Rest: 3-4 MinutesRest 3-4 minutes between sets.",62,"62","Load","Clean & Jerk","[{""load"":42,""success"":true},{""load"":42,""success"":true},{""load"":42,""success"":true},{""load"":42,""success"":true},{""load"":62,""success"":true}]","",SCALED,PR
04/18/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",SCALED,
04/18/2025,"Conditioning","9 Rounds for time 3 Bar Muscle Ups 200m Run 9 Single Dumbbell Box Step Ups 50/35lbs to 24/20""Feel: Cardio Pacing: Sustain",1532,"25:32","","","[{""secs"":32,""mins"":25}]","",SCALED,
04/21/2025,"Strength/Skill","Back SquatIn 10 Minutes, build to a heavy single, then: 5:00 reset:Every 3:00 for 6 sets: (80-85% 1RM range)3 Back Squats AHAPStimulus: Heavy Rest: As Prescribed",130,"130","Load","Back Squat","[{""load"":130,""success"":true},{""load"":65,""success"":true},{""load"":85,""success"":true},{""load"":105,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true},{""load"":125,""success"":true}]","",RX,PR
04/22/2025,"Conditioning","3 rounds for time:2 Rope Climbs30 Double Unders20 KB Snatches 53/35lbs30 Double Unders20 KB Snatches 53/35lbs30 Double Unders2 Rope ClimbsRest 2:00 between intervalsScore is total time including restFeel: Gas/Muscle OverloadPace: Sustain",1515,"25:15","","","[{""secs"":15,""mins"":25}]","",SCALED,
04/22/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm3:15 pm SchoolBus Project4:15 pm5:30 pm    **Please input under scale to identify between am and pm",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
04/24/2025,"Conditioning","AMRAP 9 Minutes x 3Run 400m1 Set of Strict HSPURun 400m1 Set of Strict HSPURun 400m1 Set of Strict HSPUMax Calorie Air Bike in remaining timeRest 1:00 between AMRAPsScore is total HSPU + total calories biked.Feel: CardioPace: Sustain",54,"54","Calories","","[{""calories"":54}]","",SCALED,
04/28/2025,"Class Times","Reminder...Please sign up at least 1 hour before class starts If no one is signed up the coach will not be there.Thank you5:30 am6:45 am9:15 am12:00 pm4:15 pm5:30 pm    **Please input under scale to identify between am and pm6:30 pm Power Hour",405,"6:45","","","[{""secs"":45,""mins"":6}]","",RX,
05/02/2025,"Conditioning","AMRAP 5 Minutes 1 Power Clean 205/135lbs7 Lateral Burpees over barFeel: Cardio Pacing: Sustain",5.001,"5+1","Rounds + Reps","","[{""rnds"":5,""reps"":1}]","",SCALED,
05/02/2025,"Strength/Skill","In 15 minutes, build to a heavy 3 rep touch and go Power CleanStimulus: Heavy Rest: As Prescribed",90,"90","Load","Power Clean","[{""load"":90,""success"":true}]","",SCALED,PR
